,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_2104295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_1804851,0.09337349,0.01506024,0.06626506,0.03313253,0.01054217,0.007530121,0.05120482,0.001506024,0.01656627,0.01807229,0.004518072,0,0.007530121,0,0.001506024,0.003012048,0.01355422,0,0.01054217,0.001506024,0.001506024,0
ILMN_2412624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILMN_2402629,0.009036144,0.01957831,0.1325301,0.1656626,0.05572289,0.02259036,0.006024096,0.007530121,0.003012048,0.007530121,0.007530121,0.007530121,0.007530121,0.006024096,0.001506024,0.007530121,0.004518072,0.001506024,0.001506024,0.001506024,0,0
ILMN_1713732,0.000156345,2.80E-06,0.000959368,3.32E-06,2.33E-06,2.05E-05,5.69E-07,6.93E-06,1.70E-05,7.12E-05,2.66E-05,0.000569304,3.12E-05,4.85E-05,5.54E-05,1.70E-05,5.69E-07,2.24E-05,1.12E-05,2.66E-05,1.56E-06,2.05E-05
ILMN_1697220,0.000163673,0.01506584,0.008168896,0.009110582,0.001960087,0.02678343,0.003320183,0.01779411,0.01035647,0.0252554,0.007870063,0.04882703,0.001279848,0.056872,0.007483082,0.03026273,0.01196938,0.004029472,0.005049584,0.01196938,0.01537122,0.00796885
ILMN_1807610,0,0.006024096,0.001506024,0.004518072,0.003012048,0.02108434,0,0.001506024,0,0,0,0,0,0,0.001506024,0,0,0,0,0,0,0
ILMN_2408039,0.07981928,0.1536145,0.2003012,0.128012,0.2289157,0.2153614,0.3855422,0.03463855,0.04668675,0.04819277,0.1054217,0.02259036,0.02409638,0.01807229,0.06024097,0.07981928,0.05722892,0.0436747,0.07981928,0.05572289,0.07680723,0.07078313
ILMN_1802167,0.009036144,0.004518072,0.009036144,0.05421687,0.01054217,0,0.09939759,0.1144578,0.01656627,0.02560241,0.1430723,0.02560241,0.07228915,0.03463855,0,0.01054217,0.06777108,0.126506,0.1762048,0.03012048,0.01656627,0
ILMN_2355586,0.7831326,0.9578313,0.4774096,0.5933735,0.8192771,0.686747,0.941265,0.8825301,0.626506,0.4171687,0.9262048,0.6430723,0.4668675,0.9533132,0.6445783,0.810241,0.5798193,0.8719879,0.8795181,0.8177711,0.8975903,0.998494
