,YTY 82T,YTY 84T,YTY 88T,YTY 78T,YTO 68T,YTO 92T,YTO 70T,YTY 94T,YTY 96T,YTY 81T,YTY 115T,YTY 95T,YTY 121T,YTY 91T,YTY 91N,YTO 71T,YTO 65T,YTO 78T,YTO 89T,YTO 67T,YTO 98T,YTO 98N
ILMN_2104295,11777.34,15654.76,16447.22,18152.73,17644.91,12811.94,14148.09,28912.88,21292.72,21278.2,23878.88,17987.54,25350.73,20082.08,22170.12,30630.54,27450.56,27555.83,25950.2,24741.61,29518.31,26466.64
ILMN_1804851,47.92878,64776,50.35888,87.81049,81.91159,81.92358,54.1439,157.5312,105.1235,115.4731,171.8924,344.7713,144.3482,660.8752,193715,212.2671,124.6111,249.8248,137.2467,191895,197302,214.2849
ILMN_2412624,779.1193,994.2435,752119,1202821,1129763,951.2262,1179794,3904947,3262439,3608774,4069419,4111169,3446695,5651386,2993111,8167246,3933336,4540384,4046111,3615889,4207021,2905.96
ILMN_2402629,66.27144,63.89339,46.61563,62.49742,65.48244,68.64259,86.67648,147.1232,151.8394,146.4442,156.6806,122.2234,139.8467,213.1719,178.0124,178.9694,156.3837,229.6323,188.2257,186.3433,227.5567,234754
ILMN_1713732,132.8008,251.0701,184.7917,406.4644,465953,252.8271,206557,610.4857,708.1965,596.4551,713.8743,1146696,570.9533,954.8737,594.4513,1038.38,657.9343,584.6415,612.8378,695376,460.9307,590.1099
ILMN_1697220,444.6981,534.4102,305.7459,646.0828,367.4203,272.4816,203.7176,669753,415.1073,362658,869736,106.9216,544.3899,638.1172,608.6532,501061,541.8127,747.5826,387.4738,557.5314,542.2016,571.4904
ILMN_1807610,92.42459,85.88046,150.6071,155.3205,117.1611,70.85139,128.1475,230.2555,170.0578,398.1039,299.7479,269.5013,242.1994,467.3009,186.0433,1391527,685.4208,433.8269,454.0607,400.8524,386.3465,232.9905
ILMN_2408039,48.21946,49.57601,44.5486,66.15067,53.88696,49.75692,43.44205,98.26646,80.98615,88.21142,80.94405,108.0211,94.17389,142.1519,82.02389,105.4512,87.08343,103.5553,82.6091,83.83891,85.66533,83.39478
ILMN_1802167,66.82535,88.7628,68.71275,77.37428,86.31167,165.6561,49.29247,76.09886,104.5489,104.2841,76.85174,102.9194,77.16993,125.0657,740.7137,169.4106,83.24918,83.56087,72.96321,98.08646,116.1846,811.4244
ILMN_2355586,40.63541,38.25198,40.25498,49.60014,45.63488,42.5704,37.08744,51.2485,57.05148,58.58989,50.78487,56.09116,56.68013,53.72141,54.36039,67.33056,57.89706,57.17182,53.40696,53.1461,54.72201,45.65054
ILMN_1689162,51.57406,61.75694,48.92293,86.29594,76.99461,61.00571,56.2377,175849,128.2852,159.9614,249.2143,106.1359,202.2248,289.8715,153.1183,162.2872,213.2767,210.2629,136.2187,171.1234,243.1866,135.4395
ILMN_1764320,48.27209,64.27383,99.71107,105.2281,135.3913,184.7623,50.06296,144.1455,85.53134,66.06731,95.23726,87.45633,76.05067,248.6453,270.2345,77.48109,67.43642,106.6597,86.9583,85.37637,105.5896,173.6089
ILMN_1744138,39.38131,44.29903,42.59151,44.00324,48.50496,44.55405,40.25158,58.17985,60.12635,63.93711,57.25142,53.43598,58.16743,64.06701,56.86909,75.73238,58.9247,75.78752,58.43687,67.12183,55.50967,63.5893
ILMN_1812441,44.95358,46.58572,47.65582,52.52932,51.88191,44.92658,40.79576,61.07155,62.00016,62.08036,62.43896,62.40025,59.87425,67.29245,52.45459,75.15328,66.38049,75.20322,72.95085,58.35071,62.37853,60.8274
ILMN_1675701,45.83816,48.82121,52.45273,100.7187,69.11785,82.73171,53.48207,77.05885,74.94019,65.16837,77.71867,73.32188,63.5841,107258,123.4777,89.50122,72.09285,80.31734,89.20587,75.40858,79.40781,93.5267
ILMN_2336186,45.89817,52.47575,43.51163,64.8572,55.18796,50.11823,50.25269,73.87648,85.24394,61.1508,68.11186,66.13203,71.56137,82.70804,68.55976,100.3588,74.43591,79.21461,71.35706,71.50874,63.5211,68.89489
ILMN_2389069,46.62598,83.74361,82.78931,317.0522,87.70945,130.6049,80.79265,105793,75.63328,70.96647,84.46326,116.4932,75.57127,202.0256,139.9662,95.66711,80.46846,108.0742,75.78841,79.91408,110.1448,112.1886
ILMN_2261076,81.3797,110.6924,149.2929,257.6797,139.4938,99.82681,80.04903,147.1747,112.0551,109.9502,161.7047,168881,147.3725,213.0208,143438,177.7488,134.9749,146.1532,146.1192,134.4019,128.6519,122.0715
ILMN_1677885,64.4291,75.50643,268.6699,216.2882,194.8849,129.1799,78.36218,96.6836,83.88808,112.2463,193.2582,77.35234,92.69781,131.3804,60.13303,78.27912,103.4617,173.8939,152212,234.4968,117693,74.52921
ILMN_1676983,143.3766,174329,268.3253,395.6249,264.4603,162.9709,153.8294,201.0105,273.6433,184.5318,286.2358,223.6284,205.9212,388.3978,258.2928,375.5718,323.2869,327976,219.5975,302.6497,201.4657,235.4587
ILMN_1662426,588814,1567184,632.1824,783.6312,928.1745,1129349,1249257,1083.15,1022237,1796047,517.8184,283.9793,761.72,644.1608,803003,1852056,820.5962,1841141,1415214,753.0374,1131922,710.6679
ILMN_1686805,45.65955,53.9137,46.16592,68.40778,56.93817,49.98355,48.58463,93.35822,79.07938,76.97704,112226,70.31785,75.72217,97.7691,64.14439,112.0116,76.52991,82.49767,82.33569,76.02448,78.77168,76.53412
